Payout Date,Consignor,,Issued By,Payout Type,Total Payout,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,Category,,
IT'S THE BAY Print,$17.00,06-29-2025,16363,75.00%,$17.00,,$12.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$515.00,$8.88,58,$311.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Molly Chen - 038,,Annie Zhou,Print List,$442.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Butterfly Earrings,$16.00,06-04-2025,15407,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pointed Star Earrings,$15.00,06-04-2025,15416,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Celestial Earrings,$15.00,06-07-2025,15505,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Moonstone Earrings,$15.00,06-08-2025,15547,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pointed Star Earrings,$15.00,06-08-2025,15556,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb kitsune mask Earrings,$15.00,06-08-2025,15556,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pink Crane,$15.00,06-08-2025,15561,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan  Pink Planet Earrings,$13.00,06-08-2025,15562,75.00%,$13.00,,$9.75,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,$15.00,06-09-2025,15576,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Celestial Earrings,$15.00,06-11-2025,15638,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pink Heart Earrings,$15.00,06-11-2025,15657,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Butterfly Earrings,$16.00,06-14-2025,15726,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Celestial Earrings,$15.00,06-14-2025,15747,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June goldfish earrings,$15.00,06-14-2025,15753,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June ketchup earrings,$15.00,06-14-2025,15765,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Celestial Earrings,$16.00,06-15-2025,15783,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb  Teddy Bear Earrings,$16.00,06-15-2025,15790,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Hot Air Balloon,$16.00,06-15-2025,15805,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2024 crane earrings pink,$13.00,06-15-2025,15806,75.00%,$13.00,,$9.75,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Cherry Earrings,$15.00,06-16-2025,15809,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June capybara earrings,$15.00,06-16-2025,15823,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Flower wreath,$15.00,06-16-2025,15824,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June moonstone earrings,$15.00,06-16-2025,15824,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Purple Crane,$15.00,06-17-2025,15828,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June goldfish earrings,$15.00,06-17-2025,15845,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Fan Earrings,$15.00,06-17-2025,15846,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June dinosaur earrings,$16.00,06-19-2025,15880,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,$15.00,06-19-2025,15884,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Dainty Square,$15.00,06-19-2025,15888,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Yellow Crane,$15.00,06-19-2025,15894,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Rainbow Heart,$15.00,06-20-2025,15923,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
mismatch butterfly earrings,$12.00,06-20-2025,15953,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Coffee Earrings,$14.00,06-20-2025,15953,75.00%,$14.00,,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Crane Red Earrings,$15.00,06-21-2025,15970,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June Celestial Earrings,$15.00,06-21-2025,16041,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June airplane earrings,$14.00,06-21-2025,16041,75.00%,$14.00,,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,$15.00,06-22-2025,16068,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June Celestial Earrings,$15.00,06-22-2025,16105,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June Celestial Earrings,$15.00,06-22-2025,16105,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June Jellyfish Earrings,$15.00,06-23-2025,16110,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June Jellyfish Earrings,$15.00,06-26-2025,16208,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 June hand earrings,$16.00,06-26-2025,16211,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Red Crane,$15.00,06-26-2025,16217,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Celestial Earrings,$16.00,06-28-2025,16261,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
2025 May Galaxy Earrings,$16.00,06-28-2025,16274,75.00%,$16.00,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pointed Star Earrings,$15.00,06-29-2025,16322,75.00%,$15.00,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$690.00,$15.00,46,$442.50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Natalie shawtysellz - 014,,Annie Zhou,Print List,$458.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
babe y2k zip up,$28.00,06-06-2025,15485,80.00%,$28.00,,$22.40,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
LEI y2k padded cami,$23.00,06-10-2025,15612,80.00%,$23.00,,$18.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
neon euro blockette top,$44.00,06-10-2025,15618,80.00%,$44.00,,$35.20,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
black italian leather bag,$45.00,06-11-2025,15663,80.00%,$45.00,,$36.00,Bags,,,,,,,,,,,,,,,,,,,,,,,,
SALE Black gator sfsu hoodie,$9.00,06-12-2025,15676,80.00%,$9.00,,$7.20,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
Sale striped button up,$13.00,06-12-2025,15683,80.00%,$13.00,,$10.40,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
fox racing baby tee,$25.00,06-13-2025,15701,80.00%,$25.00,,$20.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
y2k graphic longsleeve,$38.00,06-13-2025,15701,80.00%,$38.00,,$30.40,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
black lace back tank,$20.00,06-13-2025,15704,80.00%,$20.00,,$16.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
asian style mesh top,$30.00,06-13-2025,15707,80.00%,$30.00,,$24.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
risk embroidered jeans,$50.00,06-14-2025,15746,80.00%,$50.00,,$40.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,
purple goth coquette slip,$25.00,06-16-2025,15810,80.00%,$25.00,,$20.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
SALE brown and blue lace trim tank,$20.00,06-20-2025,15946,80.00%,$20.00,,$16.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
ed hardy style bikini top,$19.00,06-20-2025,15948,80.00%,$19.00,,$15.20,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
reversible y2k distressed sweater,$40.00,06-21-2025,15987,80.00%,$40.00,,$32.00,Sweaters,,,,,,,,,,,,,,,,,,,,,,,,
Blue harley plus size tee,$19.00,06-22-2025,16072,80.00%,$19.00,,$15.20,Tees,,,,,,,,,,,,,,,,,,,,,,,,
pink leather juicy bag,$95.00,06-22-2025,16084,80.00%,$95.00,,$76.00,Bags,,,,,,,,,,,,,,,,,,,,,,,,
baby phat scarf,$22.00,06-22-2025,16103,80.00%,$22.00,,$17.60,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,
zipper detail striped grunge top,$29.00,06-23-2025,16129,80.00%,$29.00,,$23.20,Tees,,,,,,,,,,,,,,,,,,,,,,,,
green floral mesh babydoll,$32.00,06-23-2025,16137,80.00%,$32.00,,$25.60,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
SALE White tank,$7.00,06-25-2025,16177,80.00%,$7.00,,$5.60,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
SALE black lace trim tank,$13.00,06-25-2025,16177,80.00%,$13.00,,$10.40,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
SALE floral milkmaid skirt,$14.00,06-27-2025,16228,80.00%,$14.00,,$11.20,Skirts,,,,,,,,,,,,,,,,,,,,,,,,
carhartt tee SALE,$20.00,06-27-2025,16255,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
blue chunky knit sweater,$23.00,06-28-2025,16267,80.00%,$23.00,,$18.40,Sweaters,,,,,,,,,,,,,,,,,,,,,,,,
SALE jcrew cargos,$13.00,06-29-2025,16342,80.00%,$13.00,,$10.40,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
brown abercrombie jacket,$45.00,06-29-2025,16348,80.00%,$45.00,,$36.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
blue new with tag racing jacket,$188.00,06-29-2025,16352,80.00%,$188.00,,$150.40,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
black grunge fishnet mini skirt,$20.00,06-29-2025,16355,80.00%,$20.00,,$16.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,,
SALE black blazer,$13.00,06-29-2025,16367,80.00%,$13.00,,$10.40,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
plaid garter tank,$29.00,06-30-2025,16401,80.00%,$29.00,,$23.20,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,"$1,011.00",$32.61,32,$458.80,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Niko Perez - 03Y,,Annie Zhou,Print List,$486.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
pink laced tank,$15.00,06-12-2025,15670,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
camo hunting sweater,$15.00,06-12-2025,15682,80.00%,$15.00,,$12.00,Sweaters,,,,,,,,,,,,,,,,,,,,,,,,
y2k star tank,$15.00,06-13-2025,15704,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
mexico soccer jersey,$15.00,06-14-2025,15741,80.00%,$15.00,,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,,
fem Hawaiian dance,$15.00,06-14-2025,15756,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
90s UCLA hawaiian shirt,$15.00,06-14-2025,15756,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Vtg forever 21 jacket,$15.00,06-14-2025,15772,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
radio head baby t,$15.00,06-15-2025,15803,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
white laced tank,$15.00,06-18-2025,15850,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
y2k billabong yellow hoodie,$15.00,06-18-2025,15868,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
fem peacock sheer top,$15.00,06-19-2025,15893,80.00%,$15.00,,$12.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
y2k mavericks surfboards hoodie,$15.00,06-19-2025,15911,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
y2k billabong t shirt,$15.00,06-20-2025,15921,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,15975,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20$,$20.00,06-21-2025,15976,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
1 for 15$,$15.00,06-21-2025,15976,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
1 for 15,$15.00,06-21-2025,15977,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,15978,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
y2k denium button up,$15.00,06-21-2025,15981,80.00%,$15.00,,$12.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,15983,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
uspa shirt,$15.00,06-21-2025,15984,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,15998,80.00%,$20.00,,$16.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,16000,80.00%,$20.00,,$16.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-21-2025,16001,80.00%,$20.00,,$16.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
North face zip up,$15.00,06-21-2025,16007,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
1 for 15,$15.00,06-21-2025,16011,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
1 for 15,$15.00,06-21-2025,16015,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
pink slip dress,$15.00,06-22-2025,16056,80.00%,$15.00,,$12.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Broken hearts fem top,$15.00,06-22-2025,16059,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
vintage 49ers T shirt,$15.00,06-22-2025,16090,80.00%,$15.00,,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,,
2 for 20,$20.00,06-22-2025,16109,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
volcom long sleeve,$15.00,06-23-2025,16122,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
BCBG zip,$15.00,06-24-2025,16160,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
flames guitar shirt,$15.00,06-26-2025,16216,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
knitted Abercrombie and Fitch,$15.00,06-28-2025,16291,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
Y2k Fem rustic denium jacket,$15.00,06-28-2025,16304,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
y2k aeropostale striped hoodie,$15.00,06-29-2025,16351,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
2000s vans button up,$15.00,06-29-2025,16351,80.00%,$15.00,,$12.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
skull tank,$15.00,06-29-2025,16351,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
fuck you shirt,$15.00,06-30-2025,16373,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
90s panda shirt,$15.00,06-30-2025,16394,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
y2k drum fem shirt,$15.00,06-01-2025,15356,80.00%,$15.00,,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
Y2k button up long sleeve,$15.00,06-02-2025,15367,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
weavers fem tank,$15.00,06-03-2025,15397,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
hollywood fem tank,$15.00,06-04-2025,15411,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
blue fem towel dress,$15.00,06-04-2025,15415,80.00%,$15.00,,$12.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,
red stripe rugby jersey,$15.00,06-04-2025,15428,80.00%,$15.00,,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,,
y2k Abercrombie long sleeve,$15.00,06-04-2025,15430,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
von dutch hoodie,$15.00,06-04-2025,15430,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
Chillin with my peeps,$15.00,06-05-2025,15441,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
2000s nike fem zip up,$15.00,06-05-2025,15446,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
y2k long sleeve,$15.00,06-05-2025,15459,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
italia Zip up,$15.00,06-06-2025,15476,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
lee jeans y2k polo,$15.00,06-07-2025,15499,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
vtg jean jacket,$15.00,06-07-2025,15506,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
chaps ralph lauren zip,$15.00,06-07-2025,15514,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
Cal berkeley zip,$15.00,06-07-2025,15520,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
purple velour zip,$15.00,06-07-2025,15536,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
please fem jacket,$15.00,06-08-2025,15546,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
fem y2k guitar shirt,$15.00,06-08-2025,15553,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
juicy couture butterfly top,$15.00,06-08-2025,15553,80.00%,$15.00,,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
y2k grey roxy hoodie,$15.00,06-08-2025,15553,80.00%,$15.00,,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
y2k cross long sleeve,$15.00,06-09-2025,15575,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
biker jesus T shirt,$15.00,06-09-2025,15575,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
black Hawaiian long sleeve,$15.00,06-09-2025,15594,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
love planet fem top,$15.00,06-10-2025,15598,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Quicksilver long sleeve y2k,$15.00,06-11-2025,15662,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,"$1,045.00",$15.60,67,$486.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Pio Arango - 006,,Annie Zhou,Print List,$43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,$15.00,06-05-2025,15439,75.00%,$15.00,,$11.25,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$20 item,$20.00,06-13-2025,15724,75.00%,$20.00,,$15.00,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,$15.00,06-17-2025,15828,75.00%,$15.00,,$11.25,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$25 Item,$25.00,06-17-2025,15837,75.00%,$25.00,,$18.75,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,$15.00,06-19-2025,15892,75.00%,$15.00,,$11.25,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,$15.00,06-22-2025,16098,75.00%,$15.00,,$11.25,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
$20 item,$20.00,06-27-2025,16246,75.00%,$20.00,,$15.00,Ceramics,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$125.00,$17.86,7,$43.75,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Sabrina Chan - 03I,,Annie Zhou,Print List,$549.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
striped button up,$24.00,06-01-2025,15348,75.00%,$24.00,,$18.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
handmade keychain - every piece is one-of-one!,$16.00,06-01-2025,15362,75.00%,$16.00,,$12.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,
sheer 90s dress,$30.00,06-02-2025,15365,75.00%,$30.00,,$22.50,Dresses,,,,,,,,,,,,,,,,,,,,,,,,
STEALS $5,$5.00,06-02-2025,15375,75.00%,$5.00,,$3.75,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
STEALS $10,$10.00,06-04-2025,15422,75.00%,$10.00,,$7.50,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
textured button up with ruffle detailing,$28.00,06-07-2025,15534,75.00%,$28.00,,$21.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
springtime fitted button up,$24.00,06-08-2025,15571,75.00%,$24.00,,$18.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
flowy midi skirt with mesh and lace inserts,$36.00,06-10-2025,15602,75.00%,$36.00,,$27.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,,
handmade phone charm,$12.00,06-12-2025,15672,75.00%,$12.00,,$9.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
fitted button up with cinched waist,$32.00,06-15-2025,15776,75.00%,$32.00,,$24.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
bisou bisou midi skirt,$38.00,06-15-2025,15796,75.00%,$38.00,,$28.50,Skirts,,,,,,,,,,,,,,,,,,,,,,,,
fitted vest with lace back,$26.00,06-17-2025,15829,75.00%,$26.00,,$19.50,Vests,,,,,,,,,,,,,,,,,,,,,,,,
pastel short sleeve button up,$26.00,06-19-2025,15895,75.00%,$26.00,,$19.50,Button Ups,,,,,,,,,,,,,,,,,,,,,,,,
striped long sleeve - office siren vibes,$24.00,06-21-2025,16025,75.00%,$24.00,,$18.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
slinky black cardigan top,$28.00,06-21-2025,16053,75.00%,$28.00,,$21.00,Cardigans,,,,,,,,,,,,,,,,,,,,,,,,
handmade necklace with real pearls - every piece is one-of-one!,$18.00,06-22-2025,16088,75.00%,$18.00,,$13.50,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,
handmade necklace with real pearls - every piece is one-of-one!,$18.00,06-22-2025,16089,75.00%,$18.00,,$13.50,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,
2000s floral wrap top,$26.00,06-22-2025,16092,75.00%,$26.00,,$19.50,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
sheer funky top,$26.00,06-22-2025,16094,75.00%,$26.00,,$19.50,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
handmade necklace with real pearls - every piece is one-of-one!,$18.00,06-22-2025,16101,75.00%,$18.00,,$13.50,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,
graphic sheer wrap short sleeve,$26.00,06-24-2025,16156,75.00%,$26.00,,$19.50,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
slouchy camo top,$20.00,06-25-2025,16179,75.00%,$20.00,,$15.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
vintage f21 one shoulder flowy tank,$26.00,06-27-2025,16226,75.00%,$26.00,,$19.50,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
fredericks lace mini skirt,$30.00,06-28-2025,16268,75.00%,$30.00,,$22.50,Skirts,,,,,,,,,,,,,,,,,,,,,,,,
handmade paracord bag charm,$16.00,06-28-2025,16284,75.00%,$16.00,,$12.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
handmade necklace with real pearls - every piece is one-of-one!,$18.00,06-28-2025,16296,75.00%,$18.00,,$13.50,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,
