Payout Date,Issued By,Consignor,Total Payout,,,,,,,,,,,,,Category,,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,Category,
Waterproof Sticker by @wanderellaco,14151,$5.00,$5.00,04-24-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14177,$5.00,$5.00,04-25-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14219,$5.00,$5.00,04-26-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14219,$5.00,$5.00,04-26-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14230,$5.00,$5.00,04-26-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14231,$5.00,$5.00,04-26-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14264,$5.00,$5.00,04-27-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker Sheet by @Wanderellaco,14323,$10.00,$10.00,04-29-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14331,$5.00,$5.00,04-29-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14341,$5.00,$5.00,04-30-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14343,$5.00,$5.00,04-30-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14343,$5.00,$5.00,04-30-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$251.00,$5.46,46,$188.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Lupita Ortiz - 042,$108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,13577,$12.00,$12.00,04-03-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Darling,13580,$12.00,$12.00,04-03-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
No.11,13626,$12.00,$12.00,04-05-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Muñekita,13886,$12.00,$12.00,04-14-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,13894,$12.00,$12.00,04-15-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Baja CA Sur,14066,$12.00,$12.00,04-20-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELBABY,14074,$12.00,$12.00,04-20-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Chanel,14096,$12.00,$12.00,04-20-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
REMIX,14096,$12.00,$12.00,04-20-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
BFF,14169,$12.00,$12.00,04-25-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Hotgirl,14179,$12.00,$12.00,04-25-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
REMIX,14179,$12.00,$12.00,04-25-2025,,$9.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$144.00,$12,12,$108.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Mackenzie Kirk - 02G,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Collage Frame 11x14,13950,$35.00,$35.00,04-18-2025,,$26.25,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$35.00,1,$1.00,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Marie Montoya - 03D,$236.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,13548,$25.00,$25.00,04-02-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ6- New Earrings - $20,13585,$20.00,$20.00,04-04-2025,,$15.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
AJ5 - keychains - $15,13712,$15.00,$15.00,04-06-2025,,$11.25,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
AJ6- New Earrings - $20,13761,$20.00,$20.00,04-10-2025,,$15.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,13796,$25.00,$25.00,04-12-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ6- New Earrings - $20,13892,$20.00,$20.00,04-15-2025,,$15.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,13901,$25.00,$25.00,04-15-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ1 - Necklaces - $25,13956,$25.00,$25.00,04-18-2025,,$18.75,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,13978,$25.00,$25.00,04-19-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,14158,$25.00,$25.00,04-24-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,14164,$25.00,$25.00,04-24-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ1 - Necklaces - $25,14176,$25.00,$25.00,04-25-2025,,$18.75,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
AJ6- New Earrings - $20,14242,$20.00,$20.00,04-27-2025,,$15.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
AJ1 - Necklaces - $25,14287,$25.00,$25.00,04-27-2025,,$18.75,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,14287,$25.00,$25.00,04-27-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
AJ1 - Necklaces - $25,14302,$25.00,$25.00,04-27-2025,,$18.75,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
AJ6- New Earrings - $20,14333,$20.00,$20.00,04-29-2025,,$15.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2 - Bracelets - $25,14337,$25.00,$25.00,04-30-2025,,$18.75,Bracelets,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$415.00,$23.06,18,$311.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Mia Biagini - 02I,$201.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Love Greeting Card,13545,$5.00,$5.00,04-02-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Jollibee SA Full Body Sticker,13561,$4.00,$4.00,04-03-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Maarte Brat Vinyl Sticker,13565,$4.00,$4.00,04-03-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Jollibee SA Full Body Sticker,13569,$4.00,$4.00,04-03-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Jollibee SA Sticker,13569,$4.00,$4.00,04-03-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Howdy Partner Greeting Card (Vintage Redesign),13619,$5.00,$5.00,04-05-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,13632,$8.00,$8.00,04-05-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,13658,$8.00,$8.00,04-05-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Rilakkuma SA Sticker,13671,$4.00,$4.00,04-06-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Good Luck Babe Card,13704,$5.00,$5.00,04-06-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Sanrio Sonny Angel Sticker Sheet,13731,$8.00,$8.00,04-08-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Deny Defend Depose Bumper Sticker,13735,$8.00,$8.00,04-08-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Suncatcher,13735,$10.00,$10.00,04-08-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Holo Sticker,13740,$5.00,$5.00,04-08-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Holo Sticker,13740,$5.00,$5.00,04-08-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Good Luck Babe Card,13741,$5.00,$5.00,04-08-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Deny Defend Depose Bumper Sticker,13774,$8.00,$8.00,04-11-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Love Greeting Card,13774,$5.00,$5.00,04-11-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Deny Defend Depose Bumper Sticker,13775,$8.00,$8.00,04-11-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Ugly & I'm Proud Button,13779,$4.00,$4.00,04-11-2025,,$3.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,13793,$8.00,$8.00,04-12-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Sticker,13810,$5.00,$5.00,04-12-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Holo Sticker,13810,$5.00,$5.00,04-12-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski Dango Sticker,13810,$4.00,$4.00,04-12-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Filipino Sun Suncatcher,13830,$10.00,$10.00,04-12-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
You Pick Me Up From Rock Bottom Card,13834,$5.00,$5.00,04-13-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Ugly & I'm Proud Button,13834,$4.00,$4.00,04-13-2025,,$3.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Maarte Brat Vinyl Sticker,13837,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Maarte Brat Vinyl Sticker,13838,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Proud to be Fil-Am SPAM Sticker,13838,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,13854,$8.00,$8.00,04-13-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamoroll SA Sticker,13868,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Suncatcher,13876,$10.00,$10.00,04-14-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Sonny Angel Peeker Sticker,13887,$8.00,$8.00,04-14-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Deny Defend Depose Bumper Sticker,13889,$8.00,$8.00,04-14-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamoroll SA Sticker,13918,$4.00,$4.00,04-16-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,13986,$8.00,$8.00,04-19-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hometown Buffet Bumper Sticker,14005,$8.00,$8.00,04-19-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,14005,$8.00,$8.00,04-19-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Sonny Angel Peeker Sticker,14008,$8.00,$8.00,04-19-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hello Kitty SA Sticker,14012,$4.00,$4.00,04-19-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamoroll Sonny Angel Button,14012,$5.00,$5.00,04-19-2025,,$3.75,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Pompompurin SA Sticker,14012,$4.00,$4.00,04-19-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Pochacco Sonny Angel Peeker Sticker,14080,$8.00,$8.00,04-20-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Sanrio Sonny Angel Sticker Sheet,14129,$8.00,$8.00,04-22-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hello Kitty SA Sticker,14132,$4.00,$4.00,04-23-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Sonny Angel Peeker Sticker,14134,$8.00,$8.00,04-23-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski Dango Sticker,14181,$4.00,$4.00,04-25-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Holo Sticker,14181,$5.00,$5.00,04-25-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hello Kitty SA Sticker,14181,$4.00,$4.00,04-25-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Pochacco SA Sticker,14181,$4.00,$4.00,04-25-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Rilakkuma SA Sticker,14214,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Baby Keychain,14214,$12.00,$12.00,04-26-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Bimbo Glitter Vinyl Sticker,14233,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Math Glitter Card Skin,14233,$8.00,$8.00,04-26-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Jollibee Baby Keychain,14245,$12.00,$12.00,04-27-2025,,$9.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Sonny Angel Peeker Sticker,14252,$8.00,$8.00,04-27-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hometown Buffet Bumper Sticker,14260,$8.00,$8.00,04-27-2025,,$6.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Buddy Suncatcher,14333,$10.00,$10.00,04-29-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$368.00,$6.24,59,$276.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Michelle Ip - 02R,$160.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Panhandle Sticker,13550,$3.00,$3.00,04-02-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Dolo Sticker,13550,$3.00,$3.00,04-02-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Dolores Post Card,13609,$6.00,$6.00,04-05-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI sticker,13610,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Small Print,13610,$16.00,$16.00,04-05-2025,,$12.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI Postcard,13614,$6.00,$6.00,04-05-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI Postcard,13614,$6.00,$6.00,04-05-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13675,$3.00,$3.00,04-06-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13675,$3.00,$3.00,04-06-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI Postcard,13703,$6.00,$6.00,04-06-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
BART Postcard,13703,$6.00,$6.00,04-06-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Gate Park Card,13714,$6.00,$6.00,04-07-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Croissant Sticker,13818,$2.00,$2.00,04-12-2025,,$1.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Croissant Sticker,13818,$2.00,$2.00,04-12-2025,,$1.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13824,$3.00,$3.00,04-12-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
The Fight Card,13825,$6.00,$6.00,04-12-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13826,$3.00,$3.00,04-12-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13826,$3.00,$3.00,04-12-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Dolores Post Card,13852,$6.00,$6.00,04-13-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI sticker,13872,$3.00,$3.00,04-14-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13903,$3.00,$3.00,04-15-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
The Fight Poster,13939,$25.00,$25.00,04-17-2025,,$18.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Poster,13961,$25.00,$25.00,04-18-2025,,$18.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Gate Park Card,13962,$6.00,$6.00,04-18-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Talk to Me Until I've Had My Matcha Card,13963,$5.00,$5.00,04-18-2025,,$3.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
The Fight Card,13965,$6.00,$6.00,04-18-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13994,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Matcha Sticker,13994,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Dolo Sticker,14017,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
The Fight Card,14024,$6.00,$6.00,04-19-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Dolores Post Card,14024,$6.00,$6.00,04-19-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Gate Park Poster,14029,$25.00,$25.00,04-19-2025,,$18.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI sticker,14177,$3.00,$3.00,04-25-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Fav Things in SF Small Poster,14181,$16.00,$16.00,04-25-2025,,$12.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
Dolo Sticker,14211,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Poster 12 x 18,14211,$25.00,$25.00,04-26-2025,,$18.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
BART Small Print,14283,$16.00,$16.00,04-27-2025,,$12.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI sticker,14290,$3.00,$3.00,04-27-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Walkable City Poster,14296,$25.00,$25.00,04-27-2025,,$18.75,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
MUNI sticker,14336,$3.00,$3.00,04-29-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Sticker,14336,$3.00,$3.00,04-29-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Postcard,14336,$6.00,$6.00,04-29-2025,,$4.50,Prints,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$314.00,$7.48,42,$235.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Molly Chen - 038,$448.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Dainty Koi fish earrings,13537,$12.00,$12.00,04-02-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Leaf Earrings,13556,$15.00,$15.00,04-02-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Beaded Flower Earrings,13657,$15.00,$15.00,04-05-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan Hot Air balloon Earrings,13682,$15.00,$15.00,04-06-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Kitchen Aid earrings,13703,$12.00,$12.00,04-06-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb2 Goldfish Earrings,13723,$15.00,$15.00,04-07-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Astronaut,13724,$14.00,$14.00,04-07-2025,,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Celestial Earrings,13737,$16.00,$16.00,04-08-2025,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Planet Earrings,13739,$15.00,$15.00,04-08-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Celestial Earrings,13746,$15.00,$15.00,04-09-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Jellyfish,13814,$15.00,$15.00,04-12-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Leaf Earrings,13818,$15.00,$15.00,04-12-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Kitchen Aid earrings,13835,$12.00,$12.00,04-13-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
coffee earrings,13835,$12.00,$12.00,04-13-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Red Panda Earrings,13844,$16.00,$16.00,04-13-2025,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pink Heart Earrings,13896,$15.00,$15.00,04-15-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Butterfly Earrings,13902,$15.00,$15.00,04-15-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Moonstone Earrings,13926,$15.00,$15.00,04-17-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Alice Wonderland Earrings,13928,$15.00,$15.00,04-17-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Daisy Earrings,13928,$15.00,$15.00,04-17-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Beaded Flower Earrings,14015,$15.00,$15.00,04-19-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Jellyfish,14018,$15.00,$15.00,04-19-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Red Panda Earrings,14022,$16.00,$16.00,04-19-2025,,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb  Lobster Earrings,14022,$15.00,$15.00,04-19-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan Gothic Wedding Earrings,14022,$15.00,$15.00,04-19-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb2 Green  Paper Crane,14036,$15.00,$15.00,04-19-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,14063,$15.00,$15.00,04-20-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pointed Star Earrings,14073,$15.00,$15.00,04-20-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan Dark Purple Paper crane Earring,14101,$15.00,$15.00,04-21-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan Evil Eyes Earrings,14102,$12.00,$12.00,04-21-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,14104,$15.00,$15.00,04-21-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Dainty Crystal Strawberry earrings,14111,$12.00,$12.00,04-21-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,14113,$15.00,$15.00,04-21-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,14113,$15.00,$15.00,04-21-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
hairdresser earrings,14113,$12.00,$12.00,04-21-2025,,$9.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Celestial Earrings,14124,$15.00,$15.00,04-22-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Pufferfish Earrings,14130,$15.00,$15.00,04-22-2025,,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
