Payout Date,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,Category,,Categories,
american eagle mini shorties pink cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18844,$38.00,80.00%,$38.00,,08-24-2025,$30.40,Shorts/Jorts,,,,,,,,,,,,0002FB,Apt. 9 Brown and Green Floral Tank Top L AF ,2025-08-31 16:53:47,1,$14.00,$15.00,$14.00,-$1.00,Tank tops ,,,
Abercrombie denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18862,$30.00,80.00%,$30.00,,08-24-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
vintage blue long sleeve tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18865,$18.00,80.00%,$18.00,,08-24-2025,$14.40,Long Sleeves,,,,,,,,,,,,0002OF,y2k Costa Rica Monkey Tie Dye Tank Top Sac ,2025-08-01 14:33:14,1,$22.99,$15.00,$22.99,$7.99,Tank tops ,,,
low rise american eagle striped shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18963,$45.00,80.00%,$45.00,,08-28-2025,$36.00,Shorts/Jorts,,,,,,,,,,,,00032I,Superman The Man of Steel Black and Gray Tee S B ,2025-08-01 15:20:37,1,$23.99,$8.50,$23.99,$15.49,Tees,,,
Vintage juicy sweater 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,18967,$36.00,80.00%,$36.00,,08-28-2025,$28.80,Sweaters,,,,,,,,,,,,0003CS,Rachel Pally Brown Babydoll Tank Top A ,2025-08-01 15:35:32,1,$27.99,$8.00,$27.99,$19.99,Tank tops ,,,
shortie Tokyo darling 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18972,$15.00,80.00%,$15.00,,08-28-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,0000YN,Y2k Faded Glory Shorts ,2025-08-01 15:36:30,1,$27.99,$0.00,$27.99,$27.99,Shorts/Jorts,,,
american eagle mini shorties navy cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18990,$38.00,80.00%,$38.00,,08-28-2025,$30.40,Shorts/Jorts,,,,,,,,,,,,0002TO,Faded Glory Beige Work Jacket XL TO ,2025-08-01 16:44:16,1,$31.99,$9.00,$31.99,$22.99,Jackets,,,
vintage xhiliration plaid skirt 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18991,$35.00,80.00%,$35.00,,08-28-2025,$28.00,Skirts,,,,,,,,,,,,00034Z,Carhartt Black Double Knees 32x32 Made in Mexico B ,2025-08-01 16:54:23,1,$109.99,$30.00,$109.99,$79.99,Jeans ,,,
brown xhiliration sweater dress 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,19004,$30.00,80.00%,$30.00,,08-29-2025,$24.00,Dresses,,,,,,,,,,,,0002G4,Vivglai Jeanswear Cottagecore Patterned Vest AF ,2025-08-01 17:16:31,1,$29.99,$15.00,$29.99,$14.99,Vests,,,
abercrombie & fitch cargo miniskirt perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,19021,$50.00,80.00%,$50.00,,08-29-2025,$40.00,Skirts,,,,,,,,,,,,0003AL,Coogi Australia White Tee XL B ,2025-08-01 18:02:53,1,$29.99,$8.00,$29.99,$21.99,Tees,,,
vintage y2k miss me bling butt bootcut 27 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,19036,$78.00,80.00%,$78.00,,08-30-2025,$62.40,Jeans ,,,,,,,,,,,,0001MT,Vtg Jams World Floral Button Up Blouse ,2025-08-01 18:19:53,1,$49.99,$0.00,$49.99,$49.99,Blouses,,,
Capri cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19040,$25.00,80.00%,$25.00,,08-30-2025,$20.00,Shorts/Jorts,,,,,,,,,,,,392,Jinzu Brown Polka Dot Orange Tee L B ,2025-08-01 18:19:53,1,$34.99,$8.00,$34.99,$26.99,Tees,,,
american eagle white shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19045,$35.00,80.00%,$35.00,,08-30-2025,$28.00,Shorts/Jorts,,,,,,,,,,,,00031W,y2k Ecko Unltd Red Full Zip Hoodie L B ,2025-08-02 13:40:46,1,$35.99,$8.50,$35.99,$27.49,Hoodies,,,
low rise gray american eagle shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,19045,$45.00,80.00%,$45.00,,08-30-2025,$36.00,Shorts/Jorts,,,,,,,,,,,,0003DE,Angels Cream Corduroy Jacket M V ,2025-08-02 15:14:43,1,$32.99,$10.00,$32.99,$22.99,Jackets,,,
Bebe lace up back blazer 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,19056,$38.00,80.00%,$38.00,,08-30-2025,$30.40,Jackets,,,,,,,,,,,,0002UQ,Roxy Maroon Sweater L TO ,2025-08-02 15:14:43,1,$23.99,$9.00,$23.99,$14.99,Sweaters,,,
lacy sweater bb 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,19056,$24.00,80.00%,$24.00,,08-30-2025,$19.20,Sweaters,,,,,,,,,,,,0001PF,Juicy Couture Forever Full Zip Hoodie ,2025-08-02 15:20:57,1,$34.99,$0.00,$34.99,$34.99,Hoodies,,,
vintage rampage top 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,19056,$26.00,80.00%,$26.00,,08-30-2025,$20.80,Blouses,,,,,,,,,,,,0003BF,Fox Blue Hoodie L B ,2025-08-02 16:24:58,1,$34.99,$8.00,$34.99,$26.99,Hoodies,,,
vintage shoe cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19058,$15.00,80.00%,$15.00,,08-30-2025,$12.00,Misc. Accessories,,,,,,,,,,,,0002TT,Peru White Track Jacket TO ,2025-08-03 14:32:34,1,$25.99,$9.00,$25.99,$16.99,Jackets,,,
white billabong shortie  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19075,$30.00,80.00%,$30.00,,08-30-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,0002B8,Cahartt Navy Hoodie (flawed) GW ,2025-08-03 14:42:29,1,$27.99,$0.00,$27.99,$27.99,Hoodies,,,
vintage leather tiangello purse •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,19076,$58.00,80.00%,$58.00,,08-30-2025,$46.40,Bags,,,,,,,,,,,,0003BJ,Christina K Morgan Mint and Brown Floral Pastel Babydoll Tank L B ,2025-08-03 17:05:24,1,$32.99,$8.00,$32.99,$24.99,Tank tops ,,,
vintage cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19079,$20.00,80.00%,$20.00,,08-30-2025,$16.00,Skirts,,,,,,,,,,,,00024Z,Polo by Ralph Lauren Hot Pink Polo ,2025-08-04 12:14:06,1,$17.99,$0.00,$17.99,$17.99,Tees,,,
vintage y2k miss me bling butt bootcut 27 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,19098,$82.00,80.00%,$82.00,,08-30-2025,$65.60,Jeans ,,,,,,,,,,,,0002X3,Dale Earnhardt Black Racing Jacket Winner's Circle XL Sac ,2025-08-04 12:32:52,1,$109.99,$20.00,$109.99,$89.99,Jackets,,,
abercrombie & fitch cargo miniskirt perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,19104,$54.00,80.00%,$54.00,,08-30-2025,$43.20,Skirts,,,,,,,,,,,,00031G,Social Collision Black Skull Rose Full Zip Hoodie B ,2025-08-04 13:19:42,1,$39.99,$8.50,$39.99,$31.49,Hoodies,,,
guess jeans flare 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19144,$35.00,80.00%,$35.00,,08-31-2025,$28.00,Jeans ,,,,,,,,,,,,00035M,Harley Davidson Chimney Rock Yellow Reworked Tank M Sac ,2025-08-04 13:21:24,1,$31.99,$15.00,$31.99,$16.99,Tank tops ,,,
Vintage juicy velour flower purple 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,19154,$68.00,80.00%,$68.00,,08-31-2025,$54.40,Jackets,,,,,,,,,,,,00038L,Harley Davidson Red Tank Top S B ,2025-08-04 13:28:20,1,$24.99,$8.00,$24.99,$16.99,Tank tops ,,,
$15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,19167,$15.00,80.00%,$15.00,,08-31-2025,$12.00,Skirts,,,,,,,,,,,,0002Z1,Cabi Light Wash Denim Skirt sz 2 AF ,2025-08-04 13:28:20,1,$31.99,$15.00,$31.99,$16.99,Skirts,,,
Vintage juicy velour back design logo purple 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,19173,$75.00,80.00%,$75.00,,08-31-2025,$60.00,Bags,,,,,,,,,,,,00037O,y2k Kanji Skull Bedazzled Aqua Tee 3XL B ,2025-08-04 15:18:23,1,$32.99,$8.00,$32.99,$24.99,Tees,,,
,,"$3,228.00",$31.96,$101.00,,Total Paid:,"$1,907.40",,,,,,,,,,,,,0003B2,y2k Fox Racing Blue Hoodie L B ,2025-08-04 15:26:15,1,$34.99,$8.00,$34.99,$26.99,Hoodies,,,
,,,,,,,,,,,,,,,,,,,,382,y2k Vokal Baggy Denim Jorts sz 36 B ,2025-08-04 18:17:01,1,$39.99,$8.00,$39.99,$31.99,Shorts/Jorts,,,
08-31-2025,Annie Zhou,Alexis Gomez - 03B,Print List,$63.69,,,,,,,,,,,,,,,,377,Harley Davidson Black Tank Top L Sac ,2025-08-04 18:42:34,1,$24.99,$15.00,$24.99,$9.99,Tank tops ,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,0002YT,Lee Denim Shorts sz 12 AF ,2025-08-05 13:26:39,1,$34.99,$15.00,$34.99,$19.99,Shorts/Jorts,,,
ED Hardy Jeans,17864,$115.75,75.00%,$115.75,,08-02-2025,$86.81,Jeans ,,,,,,,,,,,,00031S,y2k Tapout Big Graphic Black Tee 2XL B ,2025-08-05 14:36:59,1,$39.99,$8.50,$39.99,$31.49,Tees,,,
M&C top,17908,$15.00,75.00%,$15.00,,08-03-2025,$11.25,Blouses,,,,,,,,,,,,0002VH,Ecko Unltd Fleece Lined Red Full Zip Hoodie L (NEW w/ Tags) AF ,2025-08-05 16:09:17,1,$39.99,$20.00,$39.99,$19.99,Hoodies,,,
Massoti sweater,17916,$35.75,75.00%,$35.75,,08-03-2025,$26.81,Sweaters,,,,,,,,,,,,0003BY,We The Free Brown Blouse A ,2025-08-05 16:57:19,1,$29.99,$8.00,$29.99,$21.99,Blouses,,,
Jaipur button up,18031,$24.50,75.00%,$24.50,,08-06-2025,$18.38,Button Ups,,,,,,,,,,,,306,Harley Davidson Sturgis South Dakota White V Neck Cropped Tee L Sac ,2025-08-05 17:36:15,1,$29.99,$15.00,$29.99,$14.99,Tees,,,
Charter Club button up,18209,$24.50,75.00%,$24.50,,08-09-2025,$18.38,Button Ups,,,,,,,,,,,,0002KT,True Religion V Neck Sweater XS TO ,2025-08-05 17:36:15,1,$24.99,$9.00,$24.99,$15.99,Sweaters,,,
Long sleeve quicksilver shirt sz L,18356,$27.50,75.00%,$27.50,,08-13-2025,$20.63,Tees,,,,,,,,,,,,00035C,Harley Davidson Pataskala Ohio Baby Blue Bedazzled Crop Tee S Sac ,2025-08-05 17:37:49,1,$29.99,$15.00,$29.99,$14.99,Tees,,,
90’s Fred Harvy t-shirt,18516,$20.98,75.00%,$20.98,,08-16-2025,$15.74,Tees,,,,,,,,,,,,0002Y4,Honduras Joma Olimpia White Jersey Long Sleeve L WN ,2025-08-05 18:06:30,1,$27.99,$3.00,$27.99,$24.99,Long Sleeves,,,
Y2k Wagner’s shirt,18681,$25.98,75.00%,$25.98,,08-20-2025,$19.49,Tees,,,,,,,,,,,,0003DX,Synergy Purple Floral Lace Slip Dress 444 ,2025-08-05 18:17:05,1,$36.99,$14.28,$36.99,$22.71,Lingerie,,,
Dark wash Levis Denium jacket,18693,$40.98,75.00%,$40.98,,08-20-2025,$30.74,Jackets,,,,,,,,,,,,381,y2k Double Exposure Yellow Red Blue Button Up L B ,2025-08-06 13:21:06,1,$34.99,$8.00,$34.99,$26.99,Button Ups,,,
90’s Ohiopyle shirt,18789,$20.98,75.00%,$20.98,,08-23-2025,$15.74,Tees,,,,,,,,,,,,0003DI,Apostrophe White Lace Tank Top S 444 ,2025-08-06 15:13:42,1,$27.99,$14.28,$27.99,$13.71,Tank tops ,,,
Knobetta jeans sz 38,18842,$50.98,75.00%,$50.98,,08-24-2025,$38.24,Jeans ,,,,,,,,,,,,0003CM,Twik Bedazzled Black Tank Top V ,2025-08-06 15:48:26,1,$34.99,$10.00,$34.99,$24.99,Tank tops ,,,
Knobetta jeans sz 32,19052,$50.98,75.00%,$50.98,,08-30-2025,$38.24,Jeans ,,,,,,,,,,,,0002WV,Demon Football Red Tee XL Made in USA WN ,2025-08-06 15:51:35,1,$24.99,$10.00,$24.99,$14.99,Tees,,,
Long-sleeved black Quick silver shirt Sz s,19153,$30.98,75.00%,$30.98,,08-31-2025,$23.24,Tees,,,,,,,,,,,,0003CQ,Vertigo Paris Bedazzled Back Pockets Capris A ,2025-08-06 16:51:22,1,$32.99,$8.00,$32.99,$24.99,Shorts/Jorts,,,
,,$484.86,$37.30,13,,Total Paid:,$63.69,,,,,,,,,,,,,0002KG,y2k Wet Seal Purple Puffer Jacket S AF ,2025-08-06 16:51:22,1,$34.99,$18.00,$34.99,$16.99,Jackets,,,
,,,,,,,,,,,,,,,,,,,,0003ER,Telepatia Redemption Cross Bling Back Shorts CK ,2025-08-07 12:24:19,1,$29.99,$8.00,$29.99,$21.99,Shorts/Jorts,,,
08-31-2025,Annie Zhou,Alice Yang - 02B,Print List,$429.01,,,,,,,,,,,,,,,,396,Harley Davidson Olive Waffle Knit Long Sleeve S B ,2025-08-07 13:39:26,1,$32.99,$8.00,$32.99,$24.99,Long Sleeves,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,0003EY,Harley Davidson Gray Long Sleeve Made in USA XL CK ,2025-08-07 13:49:36,1,$29.99,$8.00,$29.99,$21.99,Long Sleeves,,,
Incorrigible Waterproof Vinyl Sticker,17796,$3.99,75.00%,$3.99,,08-01-2025,$2.99,Stickers,,,,,,,,,,,,00037A,Harley Davidson Lafayette I Am Woman Black Tee XL Sac ,2025-08-07 13:49:36,1,$27.99,$15.00,$27.99,$12.99,Tees,,,
Incorrigible Waterproof Vinyl Sticker,17823,$3.99,75.00%,$3.99,,08-01-2025,$2.99,Stickers,,,,,,,,,,,,0003BI,Banana Republic Blue Blouse M A ,2025-08-07 13:50:28,1,$27.99,$8.00,$27.99,$19.99,Blouses,,,
Incorrigible Waterproof Vinyl Sticker,17833,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0002ID,Nike Air Mint Green Full Zip Hoodie XL SS ,2025-08-07 14:12:53,1,$28.99,$9.00,$28.99,$19.99,Hoodies,,,
Baby on Board Waterproof Vinyl Sticker,17833,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0003EO,Frankee & Skylark Creme Babydoll Tank Top XS A ,2025-08-07 15:23:56,1,$27.99,$8.00,$27.99,$19.99,Tank tops ,,,
Oh No Waterproof Vinyl Sticker,17833,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0002PF,Altitude Signature Denim Jorts sz 38 AF ,2025-08-07 16:07:00,1,$37.99,$21.60,$37.99,$16.39,Shorts/Jorts,,,
Email Meeting Waterproof Vinyl Sticker,17833,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0003A9,Ecko Unltd Navy Red White Baseball Tee XL.B ,2025-08-07 17:11:15,1,$28.99,$8.00,$28.99,$20.99,Tees,,,
Shiba Email Waterproof Vinyl Sticker,17833,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,00032W,y2k Notorious BIG Red Phoenix Tee L B ,2025-08-07 17:11:15,1,$37.99,$8.50,$37.99,$29.49,Tees,,,
Just a Simple Cog Waterproof Vinyl Sticker,17838,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0002AK,y2k Harley Davidson Pink Cami 2009 SS ,2025-08-07 17:18:23,1,$26.99,$8.00,$26.99,$18.99,Tank tops ,,,
Special Interest Sticker,17838,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0003B8,Harley Davidson Black Cableknit Jacket S B ,2025-08-07 17:29:54,1,$36.99,$8.00,$36.99,$28.99,Jackets,,,
Incorrigible Large Print,17838,$24.99,75.00%,$24.99,,08-02-2025,$18.74,Prints,,,,,,,,,,,,0002EZ,Kix Taekwondo Official Green and White Baby Tee L AF ,2025-08-07 17:45:05,1,$25.99,$15.00,$25.99,$10.99,Tees,,,
Incorrigible Waterproof Vinyl Sticker,17840,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0002VW,Tommy Jeans Tommy Girl Red Baby Tee S AF ,2025-08-07 17:53:27,1,$25.99,$20.00,$25.99,$5.99,Tees,,,
Incorrigible Waterproof Vinyl Sticker,17847,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0002NU,Harley Davidson Chico Coral Tee (NEW w/ tags) Sac ,2025-08-08 14:03:32,1,$24.99,$15.00,$24.99,$9.99,Tees,,,
Mochi Pout Waterproof Vinyl Sticker,17847,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0003AI,y2k Bugle Boy Surf Navy Tee Made in USA L B ,2025-08-08 14:03:32,1,$29.99,$8.00,$29.99,$21.99,Tees,,,
Delicate Baby Cat Waterproof Vinyl Sticker,17871,$3.99,75.00%,$3.99,,08-02-2025,$2.99,Stickers,,,,,,,,,,,,0003BA,y2k Southpole AOP White Full Zip Hoodie M B ,2025-08-08 14:49:45,1,$49.99,$8.00,$49.99,$41.99,Hoodies,,,
Incorrigible Waterproof Vinyl Sticker,17899,$3.99,75.00%,$3.99,,08-03-2025,$2.99,Stickers,,,,,,,,,,,,0003FA,YMI Denim Shorts sz 9 CK ,2025-08-08 15:28:38,1,$27.99,$8.00,$27.99,$19.99,Shorts/Jorts,,,
Summoning Mini Print,18024,$4.99,75.00%,$4.99,,08-05-2025,$3.74,Prints,,,,,,,,,,,,0002VF,Rocawear Baggy Jorts sz 40 AF ,2025-08-08 17:29:42,1,$39.99,$20.00,$39.99,$19.99,Shorts/Jorts,,,
Not Your Strongest Soldier Mini Print,18026,$4.99,75.00%,$4.99,,08-06-2025,$3.74,Prints,,,,,,,,,,,,00039K,y2k Southpole 3D Logo Red Tee S L ,2025-08-08 18:06:16,1,$32.99,$8.00,$32.99,$24.99,Tees,,,
Incorrigible Waterproof Vinyl Sticker,18096,$3.99,75.00%,$3.99,,08-07-2025,$2.99,Stickers,,,,,,,,,,,,0003C9,Fat Face Striped Denim Overalls sz 6 A ,2025-08-08 18:55:21,1,$32.99,$8.00,$32.99,$24.99,Overalls,,,
Shiba Email Waterproof Vinyl Sticker,18096,$3.99,75.00%,$3.99,,08-07-2025,$2.99,Stickers,,,,,,,,,,,,0003F8,Harley Davidson Motorcycles Tan Hoodie CK ,2025-08-09 13:36:08,1,$36.99,$8.00,$36.99,$28.99,Hoodies,,,
Gifted Floral Blessing Large Print,18132,$24.99,75.00%,$24.99,,08-08-2025,$18.74,Prints,,,,,,,,,,,,0002FQ,New Identity Woven Tapestry Jacket S AF ,2025-08-09 13:36:08,1,$53.99,$20.00,$53.99,$33.99,Jackets,,,
Summoning Waterproof Vinyl Sticker,18153,$3.99,75.00%,$3.99,,08-08-2025,$2.99,Stickers,,,,,,,,,,,,0003CO,Olive Tree Black Bling Dress A ,2025-08-09 13:45:01,1,$36.99,$8.00,$36.99,$28.99,Dresses,,,
Baby on Board Waterproof Vinyl Sticker,18165,$3.99,75.00%,$3.99,,08-08-2025,$2.99,Stickers,,,,,,,,,,,,354,Carhartt B17 STW 34x30 Denim Relaxed Fit B ,2025-08-09 14:32:49,1,$44.99,$30.00,$44.99,$14.99,Jeans ,,,
Summoning Waterproof Vinyl Sticker,18200,$3.99,75.00%,$3.99,,08-09-2025,$2.99,Stickers,,,,,,,,,,,,00032Z,y2k Southpole Tan Graphic Hoodie B ,2025-08-09 14:44:54,1,$49.99,$8.50,$49.99,$41.49,Hoodies,,,
The Horrors Persist Large Print,18235,$24.99,75.00%,$24.99,,08-09-2025,$18.74,Prints,,,,,,,,,,,,0002AZ,LA Blend Beaded Brown Print Black Jacket M SS ,2025-08-09 14:44:54,1,$29.99,$13.00,$29.99,$16.99,Jackets,,,
The Horrors Persist Large Print,18309,$24.99,75.00%,$24.99,,08-11-2025,$18.74,Prints,,,,,,,,,,,,00032L,y2k Tapout AOP Gray Tee 2XL B ,2025-08-09 16:05:09,1,$39.99,$8.50,$39.99,$31.49,Tees,,,
Summoning Large Print,18319,$24.99,75.00%,$24.99,,08-11-2025,$18.74,Prints,,,,,,,,,,,,398,Ed Hardy True to My Love White Tee B ,2025-08-09 17:05:09,1,$24.99,$8.00,$24.99,$16.99,Tees,,,
Street Cat Matted Art Print,18383,$35.00,75.00%,$35.00,,08-13-2025,$26.25,Prints,,,,,,,,,,,,00038Q,y2k Genuine Tee Skulls Black Tee XL B ,2025-08-10 13:21:10,1,$29.99,$8.00,$29.99,$21.99,Tees,,,
Incorrigible Mini Print,18385,$4.99,75.00%,$4.99,,08-13-2025,$3.74,Prints,,,,,,,,,,,,0003BQ,Juicy Couture Red Velour Full Zip Hoodie w/ Back Bling A ,2025-08-10 14:43:13,1,$49.99,$8.00,$49.99,$41.99,Hoodies,,,
Delicate Baby Cat Waterproof Vinyl Sticker,18385,$3.99,75.00%,$3.99,,08-13-2025,$2.99,Stickers,,,,,,,,,,,,0002NN,Vtg Denim & Co Jeanswear Tan Work Jacket 1x Sac ,2025-08-10 16:13:41,1,$45.99,$15.00,$45.99,$30.99,Jackets,,,
Per My Last Email Waterproof Vinyl Sticker,18386,$3.99,75.00%,$3.99,,08-13-2025,$2.99,Stickers,,,,,,,,,,,,0002MR,City DKNY Black Purse AF ,2025-08-10 16:15:25,1,$29.99,$18.00,$29.99,$11.99,Bags,,,
Sit 11x14 Art Print,18389,$35.00,75.00%,$35.00,,08-13-2025,$26.25,Prints,,,,,,,,,,,,00029P,y2k Roar Grunge Black Button Up Long Sleeve AF ,2025-08-10 16:42:06,1,$36.99,$13.00,$36.99,$23.99,Long Sleeves,,,
Incorrigible Large Print,18395,$24.99,75.00%,$24.99,,08-14-2025,$18.74,Prints,,,,,,,,,,,,0001KP,Vtg Andrew Marc Black Leather Coat ,2025-08-10 16:47:14,1,$50.00,$0.00,$50.00,$50.00,Coats,,,
Summoning Mini Print,18405,$4.99,75.00%,$4.99,,08-14-2025,$3.74,Prints,,,,,,,,,,,,0001WH,Marvyn Paris Suede Jacket ,2025-08-10 16:47:57,1,$39.99,$0.00,$39.99,$39.99,Jackets,,,
Incorrigible Waterproof Vinyl Sticker,18432,$3.99,75.00%,$3.99,,08-15-2025,$2.99,Stickers,,,,,,,,,,,,0003EP,Wckd Skull Brown Graphic Tee S CK ,2025-08-10 17:08:12,1,$27.99,$8.00,$27.99,$19.99,Tees,,,
Head Empty No Thoughts Waterproof Vinyl Sticker,18470,$3.99,75.00%,$3.99,,08-15-2025,$2.99,Stickers,,,,,,,,,,,,0002IC,y2k Black Ruffled Short Sleeve Jacket SS ,2025-08-10 17:12:18,1,$32.99,$9.00,$32.99,$23.99,Jackets,,,
What Documentation Waterproof Vinyl Sticker,18535,$3.99,75.00%,$3.99,,08-16-2025,$2.99,Stickers,,,,,,,,,,,,00033F,Lifted Anchor White Blue Dyed Patterned Hoodie M B ,2025-08-10 17:28:01,1,$39.99,$8.50,$39.99,$31.49,Hoodies,,,
Mother Large Print,18554,$24.99,75.00%,$24.99,,08-16-2025,$18.74,Prints,,,,,,,,,,,,0002EW,y2k Girlie Yellow Glitter Tee AF ,2025-08-11 13:44:39,1,$27.99,$15.00,$27.99,$12.99,Tees,,,
Delicate Baby Cat Mini Print,18607,$4.99,75.00%,$4.99,,08-17-2025,$3.74,Prints,,,,,,,,,,,,0003AP,Forgiven Cross Orange Tee M B ,2025-08-11 14:02:04,1,$22.99,$8.00,$22.99,$14.99,Tees,,,
What Documentation Waterproof Vinyl Sticker,18628,$3.99,75.00%,$3.99,,08-18-2025,$2.99,Stickers,,,,,,,,,,,,00035I,Harley Davidson Bedazzled Sequins Angel Wings Black Tank LX Sac ,2025-08-11 14:14:45,1,$28.99,$15.00,$28.99,$13.99,Tank tops ,,,
The Horrors Persist Large Print,18665,$24.99,75.00%,$24.99,,08-19-2025,$18.74,Prints,,,,,,,,,,,,0003A6,Brad Butter Skulls Cross White Polo Tee 3XL ,2025-08-11 15:23:51,1,$27.99,$8.00,$27.99,$19.99,Tees,,,
Scope Creep Large Print,18699,$24.99,75.00%,$24.99,,08-21-2025,$18.74,Prints,,,,,,,,,,,,0001FO,Ralph Lauren Golf Blue Button Up ,2025-08-11 17:44:24,1,$21.99,$0.00,$21.99,$21.99,Button Ups,,,
Shiba Email Waterproof Vinyl Sticker,18703,$3.99,75.00%,$3.99,,08-21-2025,$2.99,Stickers,,,,,,,,,,,,379,Harley Davidson Restless Spirit Skull Ribbed White Tank 2XL Sac ,2025-08-12 13:04:32,1,$27.99,$15.00,$27.99,$12.99,Tank tops ,,,
Summoning Waterproof Vinyl Sticker,18705,$3.99,75.00%,$3.99,,08-21-2025,$2.99,Stickers,,,,,,,,,,,,00033K,Stussy Lime Green Tee M B ,2025-08-12 13:15:19,1,$34.99,$8.50,$34.99,$26.49,Tees,,,
Not Your Strongest Soldier Waterproof Vinyl Sticker,18705,$3.99,75.00%,$3.99,,08-21-2025,$2.99,Stickers,,,,,,,,,,,,0002S6,y2k Black Full Zip Hoodie M TO ,2025-08-12 14:09:13,1,$29.99,$9.00,$29.99,$20.99,Hoodies,,,
Incorrigible Large Print,18741,$24.99,75.00%,$24.99,,08-22-2025,$18.74,Prints,,,,,,,,,,,,00028V,Levis 501 Charcoal Gray 31x30 GW ,2025-08-12 14:09:57,1,$26.99,$0.00,$26.99,$26.99,Jeans ,,,
